name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
lagos,2019-05-23,91.5,76.6,83.6,107.8,76.6,91.7,77,81.7,0,0,0,,0,0,17.4,11.4,221.6,1012,48.7,5.9,230.9,19.9,8,,2019-05-23T06:29:53,2019-05-23T18:56:32,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65213099999,65202099999,DNMM,65201099999"
lagos,2019-05-24,89.6,78.8,82.5,102.6,78.8,90.1,77.4,85,0,0,0,,0,0,23,17.2,199,1012.1,54,6,164.7,14.3,7,,2019-05-24T06:29:52,2019-05-24T18:56:43,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2019-05-25,91.4,74.6,82,105.2,74.6,88.8,76.3,83.8,0.004,100,4.17,rain,0,0,18.6,10.4,222,1012.5,49.2,5.7,194.4,16.9,6,,2019-05-25T06:29:52,2019-05-25T18:56:55,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,remote,65201099999"
lagos,2019-05-26,89,77,80.9,104.6,77,87,77.7,90.1,0.551,100,8.33,rain,0,0,17.9,18.3,234.2,1012.6,57.4,5.7,174.9,15.2,7,,2019-05-26T06:29:52,2019-05-26T18:57:07,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
lagos,2019-05-27,91,74.8,80.7,98.4,74.8,84.5,74.4,82.7,0.236,100,4.17,rain,0,0,34.4,18.3,186.8,1012.6,53,5.9,124.8,10.9,5,,2019-05-27T06:29:54,2019-05-27T18:57:19,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,65201099999"
lagos,2019-05-28,91.4,77,83.3,107.8,77,90.6,76.6,81,0,0,0,,0,0,22.6,10.3,247.2,1012.3,51.2,6.2,233.9,20.2,8,,2019-05-28T06:29:55,2019-05-28T18:57:32,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
lagos,2019-05-29,84.2,77,80.1,96.1,77,84.4,76.7,89.7,0.236,100,4.17,rain,0,0,19,12.8,346.5,1012,60.6,6,164.8,14.1,7,,2019-05-29T06:29:58,2019-05-29T18:57:44,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
lagos,2019-05-30,86,75.2,80,99.4,75.2,85.4,76.1,88.1,0.236,100,4.17,rain,0,0,21,16.1,213.2,1012.8,62.4,4.7,102.9,8.8,5,,2019-05-30T06:30:01,2019-05-30T18:57:57,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999"
lagos,2019-05-31,82.4,78.8,79.9,92.4,78.8,83.3,77.1,91.4,0.079,100,4.17,rain,0,0,16.1,11.4,217.2,1012.7,58.3,5.7,128.9,11.2,5,,2019-05-31T06:30:04,2019-05-31T18:58:11,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,remote,65201099999"
lagos,2019-06-01,86,73.4,79.6,95.2,73.4,82.9,75.4,87.5,1.299,100,8.33,rain,0,0,18.6,7.6,271.8,1013.3,53.5,5.6,141.3,12,5,,2019-06-01T06:30:09,2019-06-01T18:58:24,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNMM,remote,65201099999"
