,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
54,"Lagos, Nigeria",2017-08-24,30.0,22.8,25.7,35.1,22.8,27.1,22.7,84.2,0.0,0,0.0,,0,0.0,33.5,14.8,238.0,1013.3,59.4,9.1,232.4,20.0,8,,2017-08-24T06:40:17,2017-08-24T18:57:08,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
55,"Lagos, Nigeria",2017-08-25,25.0,21.9,23.6,25.0,21.9,23.6,22.2,91.9,39.0,100,4.17,rain,0,0.0,38.9,20.5,255.7,1013.0,56.6,9.0,149.0,12.9,5,,2017-08-25T06:40:10,2017-08-25T18:56:42,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,65213099999,DNMM,65201099999"
56,"Lagos, Nigeria",2017-08-26,28.0,22.0,24.6,31.3,22.0,25.2,22.6,88.9,4.0,100,4.17,rain,0,0.0,40.3,18.4,268.0,1013.8,58.0,7.2,107.2,9.3,5,,2017-08-26T06:40:03,2017-08-26T18:56:15,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
57,"Lagos, Nigeria",2017-08-27,27.0,23.0,25.0,30.1,23.0,25.5,23.1,89.2,0.8,100,12.5,rain,0,0.0,27.0,22.3,257.1,1014.6,64.8,8.8,133.8,11.5,4,,2017-08-27T06:39:56,2017-08-27T18:55:48,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
58,"Lagos, Nigeria",2017-08-28,29.0,23.0,25.5,33.6,23.0,26.5,23.1,87.2,0.0,0,0.0,,0,0.0,33.1,24.1,270.7,1014.2,55.8,9.5,141.8,12.3,5,,2017-08-28T06:39:49,2017-08-28T18:55:20,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
59,"Lagos, Nigeria",2017-08-29,27.0,24.0,25.0,30.1,24.0,25.1,23.1,89.0,0.0,0,0.0,,0,0.0,33.5,24.1,255.0,1013.4,77.5,9.4,153.5,13.2,8,,2017-08-29T06:39:41,2017-08-29T18:54:52,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
60,"Lagos, Nigeria",2017-08-30,28.0,24.0,25.2,31.3,24.0,25.7,23.0,88.1,3.0,100,4.17,rain,0,0.0,42.5,27.7,249.3,1014.2,69.3,9.6,145.0,12.5,5,,2017-08-30T06:39:33,2017-08-30T18:54:23,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
61,"Lagos, Nigeria",2017-08-31,28.0,24.0,25.2,31.3,24.0,25.7,22.9,87.7,0.2,100,8.33,rain,0,0.0,40.7,25.9,256.8,1014.5,71.8,9.9,199.5,17.2,7,,2017-08-31T06:39:24,2017-08-31T18:53:55,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"DNMM,remote,65201099999"
62,"Lagos, Nigeria",2017-09-01,30.0,23.0,25.7,35.1,23.0,26.8,22.7,84.5,0.0,0,0.0,,0,0.0,31.3,25.9,271.0,1015.6,55.2,9.2,230.3,20.0,8,,2017-09-01T06:39:15,2017-09-01T18:53:25,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
63,"Lagos, Nigeria",2017-09-02,29.1,23.0,25.6,33.0,23.0,26.7,22.8,85.2,0.0,0,0.0,,0,0.0,37.4,20.5,262.8,1015.3,59.2,9.5,235.7,20.5,8,,2017-09-02T06:39:07,2017-09-02T18:52:56,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
64,"Lagos, Nigeria",2017-09-03,28.0,24.0,25.4,31.9,24.0,26.2,23.1,87.2,0.0,0,0.0,,0,0.0,37.1,18.4,251.6,1015.0,58.3,9.8,166.2,14.4,6,,2017-09-03T06:38:57,2017-09-03T18:52:26,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
65,"Lagos, Nigeria",2017-09-04,29.0,24.0,25.6,32.7,24.0,26.2,22.8,85.1,0.0,0,0.0,,0,0.0,37.8,22.3,259.6,1014.9,63.0,10.0,198.9,17.1,7,,2017-09-04T06:38:48,2017-09-04T18:51:56,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
66,"Lagos, Nigeria",2017-09-05,30.0,23.0,25.8,35.1,23.0,27.3,23.1,85.3,0.0,0,0.0,,0,0.0,32.0,20.5,258.9,1015.0,58.3,9.4,221.2,19.0,7,,2017-09-05T06:38:38,2017-09-05T18:51:26,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
67,"Lagos, Nigeria",2017-09-06,29.0,23.6,25.8,33.0,23.6,27.0,23.1,85.5,0.0,0,0.0,,0,0.0,33.5,27.7,265.1,1014.0,65.0,9.6,188.0,16.3,7,,2017-09-06T06:38:29,2017-09-06T18:50:55,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,remote,65201099999"
68,"Lagos, Nigeria",2017-09-07,26.0,23.0,24.3,26.0,23.0,24.3,23.0,92.4,11.0,100,8.33,rain,0,0.0,27.7,20.5,265.1,1013.5,69.1,7.4,35.1,2.8,1,,2017-09-07T06:38:19,2017-09-07T18:50:24,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,DNMM,remote,65201099999"
